Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,17,,0.54,0.84,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,17,,0.54,0.84,NaN,NaN
Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,17,,0.54,0.84,0.39,0.91
Home,CHALLENGE,AERIAL-LOST,1,15224,608.96,15224,608.96,5,,0.53,0.84,NaN,NaN
Home,RECOVERY,,1,15269,610.76,15269,610.76,1,,0.41,0.91,NaN,NaN
Home,PASS,,1,15298,611.92,15336,613.44,1,5,0.44,0.98,0.52,0.94
Away,RECOVERY,INTERCEPTION,1,15300,612,15300,612,22,,0.46,0.98,NaN,NaN
Away,BALL LOST,,1,15300,612,15336,613.44,22,,0.46,0.98,0.57,0.91
Home,PASS,,1,15363,614.52,15379,615.16,5,9,0.56,0.96,0.6,0.88
Home,PASS,,1,15419,616.76,15430,617.2,9,5,0.64,0.88,0.7,0.88
Home,BALL LOST,,1,15430,617.2,15464,618.56,5,,0.7,0.88,0.81,0.71
Away,RECOVERY,,1,15462,618.48,15462,618.48,16,,0.79,0.71,NaN,NaN
Away,PASS,,1,15473,618.92,15521,620.84,16,25,0.8,0.71,0.94,0.61
Away,BALL LOST,,1,15521,620.84,15646,625.84,25,,0.94,0.61,0.44,0.34
Home,RECOVERY,INTERCEPTION,1,15646,625.84,15646,625.84,4,,0.46,0.34,NaN,NaN
Home,PASS,HEAD,1,15646,625.84,15690,627.6,4,3,0.46,0.34,0.39,0.46
Home,CHALLENGE,GROUND-FAULT-WON,1,15690,627.6,15690,627.6,3,,0.39,0.46,NaN,NaN
Home,FAULT RECEIVED,,1,15690,627.6,15690,627.6,3,,0.39,0.46,NaN,NaN
Away,CHALLENGE,GROUND-FAULT-LOST,1,15690,627.6,15690,627.6,24,,0.4,0.46,NaN,NaN
Home,SET PIECE,FREE KICK,1,15917,636.68,15917,636.68,3,,NaN,NaN,NaN,NaN
Home,PASS,,1,15917,636.68,15973,638.92,3,1,0.34,0.44,0.43,0.91
Home,PASS,,1,16045,641.8,16066,642.64,1,6,0.52,0.91,0.54,0.73
Home,PASS,,1,16066,642.64,16094,643.76,6,1,0.54,0.73,0.53,0.9
Home,PASS,,1,16094,643.76,16134,645.36,1,2,0.53,0.9,0.35,0.8
Home,PASS,,1,16162,646.48,16193,647.72,2,3,0.35,0.79,0.3,0.53
Home,PASS,,1,16223,648.92,16252,650.08,3,6,0.29,0.57,0.47,0.67
Home,PASS,,1,16252,650.08,16303,652.12,6,4,0.47,0.67,0.41,0.22
Home,PASS,,1,16332,653.28,16359,654.36,4,10,0.44,0.22,0.53,0.27
Home,PASS,,1,16383,655.32,16424,656.96,10,8,0.56,0.24,0.69,0.03
Home,BALL LOST,,1,16465,658.6,16470,658.8,8,,0.77,0.07,0.78,0.14
Away,RECOVERY,INTERCEPTION,1,16471,658.84,16471,658.84,15,,0.8,0.13,NaN,NaN
Away,BALL OUT,,1,16471,658.84,16543,661.72,15,,0.8,0.13,1.03,0.2
Home,SET PIECE,CORNER KICK,1,17276,691.04,17276,691.04,6,,NaN,NaN,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,17276,691.04,17318,692.72,6,,1.01,0.01,0.93,0.53
Away,RECOVERY,INTERCEPTION,1,17316,692.64,17316,692.64,19,,0.94,0.51,NaN,NaN
Away,BALL OUT,HEAD,1,17316,692.64,17352,694.08,19,,0.94,0.51,1.04,0.67
Home,SET PIECE,CORNER KICK,1,18203,728.12,18203,728.12,6,,NaN,NaN,NaN,NaN
Home,PASS,,1,18203,728.12,18252,730.08,6,3,0.94,0.99,0.89,0.46
Home,CHALLENGE,AERIAL-WON,1,18252,730.08,18252,730.08,3,,0.89,0.46,NaN,NaN
Home,PASS,HEAD,1,18252,730.08,18270,730.8,3,8,0.89,0.46,0.94,0.55
Away,CHALLENGE,AERIAL-LOST,1,18252,730.08,18252,730.08,17,,0.89,0.47,NaN,NaN
Home,SHOT,HEAD-OFF TARGET-OUT,1,18270,730.8,18301,732.04,8,,0.94,0.55,1.03,0.61
Away,RECOVERY,,1,18558,742.32,18558,742.32,25,,0.96,0.6,NaN,NaN
Away,PASS,GOAL KICK,1,18558,742.32,18606,744.24,25,17,0.96,0.6,0.84,0.92
Away,PASS,,1,18725,749,18754,750.16,17,22,0.67,0.86,0.6,0.99
Away,PASS,,1,18793,751.72,18814,752.56,22,17,0.61,0.96,0.71,0.91
Away,PASS,,1,18878,755.12,18931,757.24,17,25,0.74,0.96,0.96,0.74
Away,BALL LOST,INTERCEPTION,1,18931,757.24,19018,760.72,25,,0.96,0.74,0.51,0.79
Home,RECOVERY,INTERCEPTION,1,19018,760.72,19018,760.72,2,,0.5,0.8,NaN,NaN
Home,BALL LOST,HEAD,1,19018,760.72,19114,764.56,2,,0.5,0.8,0.69,0.52
Away,RECOVERY,,1,19116,764.64,19116,764.64,19,,0.69,0.49,NaN,NaN
Away,PASS,,1,19214,768.56,19252,770.08,19,18,0.54,0.3,0.45,0.02
Away,PASS,,1,19269,770.76,19294,771.76,18,19,0.45,0.03,0.48,0.18
Away,PASS,,1,19348,773.92,19380,775.2,19,20,0.48,0.23,0.44,0.48
Away,PASS,,1,19380,775.2,19412,776.48,20,23,0.44,0.48,0.34,0.34
Away,PASS,DEEP BALL,1,19412,776.48,19470,778.8,23,24,0.34,0.34,0.13,0.37
Away,SHOT,ON TARGET-SAVED,1,19470,778.8,19483,779.32,24,,0.13,0.37,0.02,0.48
Home,RECOVERY,SAVED,1,19482,779.28,19482,779.28,11,,0.03,0.47,NaN,NaN
Home,PASS,,1,19482,779.28,19529,781.16,11,3,0.03,0.47,0.08,0.41
Home,PASS,,1,19529,781.16,19571,782.84,3,8,0.08,0.41,0.22,0.25
Home,BALL LOST,HEAD,1,19571,782.84,19617,784.68,8,,0.22,0.25,0.34,0.22
Away,RECOVERY,INTERCEPTION,1,19616,784.64,19616,784.64,20,,0.37,0.26,NaN,NaN
Away,BALL OUT,HEAD,1,19616,784.64,19709,788.36,20,,0.37,0.26,0.41,-0.04
Home,SET PIECE,THROW IN,1,20146,805.84,20146,805.84,4,,NaN,NaN,NaN,NaN
